周波数 [Hz]	入力電圧 [mV]	出力電圧 [V]
442	112	0.99
442	140	1.27
442	158	1.35
442	189	1.60
442	208	1.65
442	220	1.83
442	243	2.00
442	256	2.08
442	281	2.31
442	302	2.43
442	350	2.68
442	412	2.91
