V_input [V]	平均値	平均値誤差率	実効値	実効値誤差率
40 	54.0	-5.4%	54.1	-5.5%
50 	67.5	-4.9%	67.6	-4.3%
60 	81.0	-3.6%	81.1	-2.7%
