V_input [V]	制御角 [°]	平均値	平均値誤差率	実効値	実効値誤差率
40 	45 	15.4	-5.7%	27.0	-5.8%
40 	90 	9.0	0.0%	20.0	0.0%
40 	120 	4.5	15.5%	12.5	16.7%
