V_input [V]	平均値	平均値誤差率	実効値	実効値誤差率
40 	36.0	-6.7%	40.0	-6.0%
50 	45.0	-5.4%	50.0	-4.8%
60 	54.0	-4.7%	60.0	-3.8%
