V_input [V]	制御角 [°]	アノード電流 I [A]	カソード電流I_a [A]	平均出力電圧 V_a [V]	実効出力電圧 V_b [V]	波形率 F_f	波高率 F_c
40	45	0.510	0.429	30.4	37.1	1.220	1.525
40	90	0.397	0.262	18.4	29.0	1.576	1.951
40	120	0.297	0.168	11.1	21.9	1.973	2.583
