V_input [V]	平均値	平均値誤差率	実効値	実効値誤差率
40 	18.01	-6.14%	28.28	-5.95%
50 	22.51	-5.37%	35.36	-4.96%
60 	27.01	-3.74%	42.43	-2.89%
